use,scopus_ok,slot,year,journal,publisher,citations,title,authors,volume,issue,pages,doi,query
Y,Y,imbalance,2024,Sensors,MDPI AG,67,"Optimizing IoT Intrusion Detection Using Balanced Class Distribution, Feature Selection, and Ensemble Machine Learning Techniques","Musthafa, Muhammad Bisri; Huda, Samsul; Kodera, Yuta; Ali, Md. Arshad; Araki, Shunsuke; Mwaura, Jedidah; Nogami, Yasuyuki",24.0,13.0,4293,10.3390/s24134293,IoT intrusion detection class imbalance
Y,Y,imbalance,2024,Electronics,MDPI AG,64,Addressing Class Imbalance in Intrusion Detection: A Comprehensive Evaluation of Machine Learning Approaches,"Shanmugam, Vaishnavi; Razavi-Far, Roozbeh; Hallaji, Ehsan",14.0,1.0,69,10.3390/electronics14010069,IoT intrusion detection class imbalance
Y,Y,related-work,2024,Sensors,MDPI AG,64,Optimized Intrusion Detection for IoMT Networks with Tree-Based Machine Learning and Filter-Based Feature Selection,"Balhareth, Ghaida; Ilyas, Mohammad",24.0,17.0,5712,10.3390/s24175712,feature selection intrusion detection deep learning
Y,Y,related-work,2025,Sensors,MDPI AG,61,Machine Learning-Based Security Solutions for IoT Networks: A Comprehensive Survey,"Alfahaid, Abdullah; Alalwany, Easa; Almars, Abdulqader M.; Alharbi, Fatemah; Atlam, Elsayed; Mahgoub, Imad",25.0,11.0,3341,10.3390/s25113341,deep learning IoT security survey 2025
Y,Y,imbalance,2024,Future Internet,MDPI AG,53,Advanced Hybrid Transformer-CNN Deep Learning Model for Effective Intrusion Detection Systems with Class Imbalance Mitigation Using Resampling Techniques,"Kamal, Hesham; Mashaly, Maggie",16.0,12.0,481,10.3390/fi16120481,IoT intrusion detection class imbalance
Y,Y,related-work,2025,Electronics,MDPI AG,50,"IoT–Cloud Integration Security: A Survey of Challenges, Solutions, and Directions","Almutairi, Mohammed; Sheldon, Frederick T.",14.0,7.0,1394,10.3390/electronics14071394,deep learning IoT security survey 2025
Y,Y,imbalance,2025,Computers,MDPI AG,45,Ensemble Learning for Network Intrusion Detection Based on Correlation and Embedded Feature Selection Techniques,"Nassreddine, Ghalia; Nassereddine, Mohamad; Al-Khatib, Obada",14.0,3.0,82,10.3390/computers14030082,feature selection intrusion detection deep learning
Y,Y,related-work,2024,Sensors,MDPI AG,41,Improved Intrusion Detection Based on Hybrid Deep Learning Models and Federated Learning,"Huang, Jia; Chen, Zhen; Liu, Sheng-Zheng; Zhang, Hao; Long, Hai-Xia",24.0,12.0,4002,10.3390/s24124002,CICIoT2023 intrusion detection deep learning
Y,Y,related-work,2025,Sensors,MDPI AG,36,A Heterogeneity-Aware Semi-Decentralized Model for a Lightweight Intrusion Detection System for IoT Networks Based on Federated Learning and BiLSTM,"Alsaleh, Shuroog; Menai, Mohamed El Bachir; Al-Ahmadi, Saad",25.0,4.0,1039,10.3390/s25041039,federated learning intrusion detection IoT
Y,Y,related-work,2025,Sensors,MDPI AG,34,FD-IDS: Federated Learning with Knowledge Distillation for Intrusion Detection in Non-IID IoT Environments,"Peng, Haonan; Wu, Chunming; Xiao, Yanfeng",25.0,14.0,4309,10.3390/s25144309,federated learning intrusion detection IoT
Y,Y,related-work,2025,Sensors,MDPI AG,32,HiViT-IDS: An Efficient Network Intrusion Detection Method Based on Vision Transformer,"Zhou, Hai; Zou, Haojie; Li, Wei; Li, Di; Kuang, Yinchun",25.0,6.0,1752,10.3390/s25061752,transformer network intrusion detection
Y,Y,related-work,2025,IoT,MDPI AG,32,Trustworthy Adaptive AI for Real-Time Intrusion Detection in Industrial IoT Security,"Al Rawajbeh, Mohammad; Maria Soosai, Amala Jayanthi; Ramasamy, Lakshmana Kumar; Khan, Firoz",6.0,3.0,53,10.3390/iot6030053,IoT intrusion detection class imbalance
Y,Y,imbalance,2024,Artificial Intelligence Review,Springer Science and Business Media LLC,478,"A survey on imbalanced learning: latest research, applications and future directions","Chen, Wuxing; Yang, Kaixiang; Yu, Zhiwen; Shi, Yifan; Chen, C. L. Philip",57.0,6.0,,10.1007/s10462-024-10759-6,imbalanced learning classification survey
Y,Y,imbalance,2024,Artificial Intelligence Review,Springer Science and Business Media LLC,190,Cost-sensitive learning for imbalanced medical data: a review,"Araf, Imane; Idri, Ali; Chairi, Ikram",57.0,4.0,,10.1007/s10462-023-10652-8,cost-sensitive learning imbalanced network traffic
Y,Y,imbalance,2024,Journal of Big Data,Springer Science and Business Media LLC,180,Optimizing IoT intrusion detection system: feature selection versus feature extraction in machine learning,"Li, Jing; Othman, Mohd Shahizan; Chen, Hewan; Yusuf, Lizawati Mi",11.0,1.0,,10.1186/s40537-024-00892-y,feature selection intrusion detection deep learning
Y,Y,related-work,2024,Journal of Cloud Computing,Springer Science and Business Media LLC,139,A Transformer-based network intrusion detection approach for cloud security,"Long, Zhenyue; Yan, Huiru; Shen, Guiquan; Zhang, Xiaolu; He, Haoyang; Cheng, Long",13.0,1.0,,10.1186/s13677-023-00574-9,transformer network intrusion detection
Y,Y,related-work,2025,Scientific Reports,Springer Science and Business Media LLC,122,An optimized LSTM-based deep learning model for anomaly network intrusion detection,"Dash, Nitu; Chakravarty, Sujata; Rath, Amiya Kumar; Giri, Nimay Chandra; AboRas, Kareem M.; Gowtham, N.",15.0,1.0,,10.1038/s41598-025-85248-z,network anomaly detection deep learning benchmark
Y,Y,related-work,2025,ACM Transactions on Software Engineering and Methodology,Association for Computing Machinery (ACM),96,Toward Enhancing Privacy Preservation of a Federated Learning CNN Intrusion Detection System in IoT: Method and Empirical Study,"Torre, Damiano; Chennamaneni, Anitha; Jo, JaeYun; Vyas, Gitika; Sabrsula, Brandon",34.0,2.0,1-48,10.1145/3695998,intrusion detection system evaluation methodology
Y,Y,related-work,2024,Journal of Cloud Computing,Springer Science and Business Media LLC,77,Explainable AI-based innovative hybrid ensemble model for intrusion detection,"Ahmed, Usman; Jiangbin, Zheng; Almogren, Ahmad; Khan, Sheharyar; Sadiq, Muhammad Tariq; Altameem, Ayman; Rehman, Ateeq Ur",13.0,1.0,,10.1186/s13677-024-00712-x,explainable AI network intrusion detection
Y,Y,related-work,2024,Scientific Reports,Springer Science and Business Media LLC,73,A novel multi-scale network intrusion detection model with transformer,"Xi, Chiming; Wang, Hui; Wang, Xubin",14.0,1.0,,10.1038/s41598-024-74214-w,transformer network intrusion detection
Y,Y,evaluation,2025,Artificial Intelligence Review,Springer Science and Business Media LLC,66,Don’t push the button! Exploring data leakage risks in machine learning and transfer learning,"Apicella, Andrea; Isgrò, Francesco; Prevete, Roberto",58.0,11.0,,10.1007/s10462-025-11326-3,data leakage preprocessing machine learning security
Y,Y,imbalance,2024,Journal of Big Data,Springer Science and Business Media LLC,65,Hybrid wrapper feature selection method based on genetic algorithm and extreme learning machine for intrusion detection,"Maseno, Elijah M.; Wang, Zenghui",11.0,1.0,,10.1186/s40537-024-00887-9,feature selection intrusion detection deep learning
Y,Y,related-work,2025,PeerJ Computer Science,PeerJ,55,Federated learning with LSTM for intrusion detection in IoT-based wireless sensor networks: a multi-dataset analysis,"Anwar, Raja Waseem; Abrar, Mohammad; Salam, Abdu; Ullah, Faizan",11.0,,e2751,10.7717/peerj-cs.2751,federated learning intrusion detection IoT
Y,Y,related-work,2024,Expert Systems,Wiley,54,"A comprehensive survey on deep learning‐based intrusion detection systems in Internet of Things (
                    <scp>IoT</scp>
                    )","Al‐Haija, Qasem Abu; Droos, Ayat",42.0,2.0,,10.1111/exsy.13726,deep learning IoT security survey 2025
N,,,2024,Artificial Intelligence Review,Springer Science and Business Media LLC,50,Heterogeneous wireless network selection using feed forward double hierarchy linguistic neural network,"Abdullah, Saleem; Ullah, Ihsan; Ghani, Fazal",57.0,8.0,,10.1007/s10462-024-10826-y,checkpoint selection validation neural network training
Y,Y,related-work,2024,Cybersecurity,Springer Science and Business Media LLC,48,Classification of DDoS attack traffic on SDN network environment using deep learning,"Clinton, Urikhimbam Boby; Hoque, Nazrul; Robindro Singh, Khumukcham",7.0,1.0,,10.1186/s42400-024-00219-7,network traffic classification deep learning evaluation
Y,Y,imbalance,2025,ACM Computing Surveys,Association for Computing Machinery (ACM),35,Class-Imbalanced Learning on Graphs: A Survey,"Ma, Yihong; Tian, Yijun; Moniz, Nuno; Chawla, Nitesh V.",57.0,8.0,1-16,10.1145/3718734,imbalanced learning classification survey
Y,Y,related-work,2024,Cybersecurity,Springer Science and Business Media LLC,30,Intrusion detection system for controller area network,"Tanksale, Vinayak",7.0,1.0,,10.1186/s42400-023-00195-4,focal loss network intrusion detection
Y,Y,related-work,2025,WIREs Data Mining and Knowledge Discovery,Wiley,30,Optimizing Intrusion Detection for <scp>IoT</scp>: A Systematic Review of Machine Learning and Deep Learning Approaches With Feature Selection and Data Balancing,"Mallidi, S. Kumar Reddy; Ramisetty, Rajeswara Rao",15.0,2.0,,10.1002/widm.70008,feature selection intrusion detection deep learning
N,,,2024,PeerJ Computer Science,PeerJ,26,Comparative evaluation of machine learning algorithms for phishing site detection,"Almujahid, Noura Fahad; Haq, Mohd Anul; Alshehri, Mohammed",10.0,,e2131,10.7717/peerj-cs.2131,pitfalls machine learning computer security evaluation
Y,Y,related-work,2025,Cybersecurity,Springer Science and Business Media LLC,26,Intrusion detection in the internet of things using convolutional neural networks: an explainable AI approach,"Ebrahimi, Fatemeh; Javidan, Reza; Akbari, Reza; Hosseini, Yasin",8.0,1.0,,10.1186/s42400-025-00369-2,explainable AI network intrusion detection
Y,Y,related-work,2025,SECURITY AND PRIVACY,Wiley,24,"Enhancing Intrusion Detection Systems With Advanced Machine Learning Techniques: An Ensemble and Explainable Artificial Intelligence (
                    <scp>AI</scp>
                    ) Approach","Naif Alatawi, Mohammed",8.0,1.0,,10.1002/spy2.496,explainable AI network intrusion detection
Y,Y,related-work,2025,Discover Internet of Things,Springer Science and Business Media LLC,24,Development of an intelligent intrusion detection system for IoT networks using deep learning,"Zhang, Haozhe",5.0,1.0,,10.1007/s43926-025-00177-7,CICIoT2023 intrusion detection deep learning
