use,scopus_ok,slot,year,journal,publisher,citations,title,authors,volume,issue,pages,doi,query
Y,Y,imbalance,2024,Machine Learning,Springer Science and Business Media LLC,3,Local neighborhood encodings for imbalanced data classification,"Koziarski, Michał; Woźniak, Michał",113.0,10.0,7421-7449,10.1007/s10994-024-06563-6,imbalanced learning classification survey
Y,Y,imbalance,2024,Expert Systems,Wiley,3,"<scp>BENN</scp>
                    : Balanced Ensemble Neural Network for Handling Class Imbalance in Big Data","Ramesh, Sneha Halebeedu; Basava, Annappa; Perumal, Sankar Pariserum",42.0,2.0,,10.1111/exsy.13754,macro F1 balanced accuracy multiclass imbalance
Y,Y,training,2024,Advances in Computational Mathematics,Springer Science and Business Media LLC,3,Limitations of neural network training due to numerical instability of backpropagation,"Karner, Clemens; Kazeev, Vladimir; Petersen, Philipp Christian",50.0,1.0,,10.1007/s10444-024-10106-x,training instability neural network variance
N,,,2024,International Journal of Computational Intelligence Systems,Springer Science and Business Media LLC,3,A Novel Training Approach in Deep Spiking Neural Network Based on Fuzzy Weighting and Meta-heuristic Algorithm,"Hamian, Melika; Faez, Karim; Nazari, Soheila; Sabeti, Malihe",17.0,1.0,,10.1007/s44196-024-00425-8,class weighting neural network training imbalance
Y,Y,evaluation,2026,Scientific Reports,Springer Science and Business Media LLC,3,Usmile likelihood evaluation provides robust threshold free assessment of binary classification models for balanced and imbalanced datasets,"Więckowska, Barbara; Guzik, Przemysław",16.0,1.0,,10.1038/s41598-026-40545-z,decision threshold optimization imbalanced classification
N,,,2024,PeerJ Computer Science,PeerJ,3,"Classifying software security requirements into confidentiality, integrity, and availability using machine learning approaches","Bagies, Taghreed",10.0,,e2554,10.7717/peerj-cs.2554,pitfalls machine learning computer security evaluation
N,,RETRACTED-excluded,2024,Journal of Intelligent &amp; Fuzzy Systems,SAGE Publications,3,RETRACTED: An effective ensemble classification framework for intrusion detection system using LSTM autoencoder,"Ketepalli, Gayatri; Bulla, Premamayudu",46.0,4.0,7613-7626,10.3233/jifs-232228,LSTM autoencoder CNN hybrid intrusion detection
Y,Y,rare-class,2025,Scientific Reports,Springer Science and Business Media LLC,3,Federated transfer learning for rare attack class detection in network intrusion detection systems,"Sri Abhijit, Chunduru; Annie Jerusha, Y.; Syed Ibrahim, S. P.; Varadharajan, Vijay",15.0,1.0,,10.1038/s41598-025-02068-x,rare class detection network security deep learning
Y,Y,related-work,2026,Discover Internet of Things,Springer Science and Business Media LLC,3,Explainable federated learning through causal reasoning for intrusion detection in IoT,"Asiri, Fatima",6.0,1.0,,10.1007/s43926-026-00292-z,federated learning intrusion detection IoT
N,,,2024,Intelligent Decision Technologies,SAGE Publications,3,Application of machine learning algorithm and data evaluation in computer network security situation awareness technology,"Zhang, Xuxia; Chen, Weijie; Wang, Jian; Fang, Rang",18.0,4.0,2827-2839,10.3233/idt-230238,pitfalls machine learning computer security evaluation
Y,Y,related-work,2025,Journal of Forensic Sciences,Wiley,2,Enhancing malware detection and classification in network traffic using deep learning techniques,"Tambewagh, Pratibha Amol; Ingle, Dayanand",71.0,1.0,353-370,10.1111/1556-4029.70189,network traffic classification deep learning evaluation
Y,Y,related-work,2025,SECURITY AND PRIVACY,Wiley,2,Enhancing VANET Security Using a Hybrid Model of Deep Learning and Homomorphic Encryption,"Hayouni, Haythem",8.0,6.0,,10.1002/spy2.70109,deep learning IoT security survey 2025
N,,,2025,Scientific Reports,Springer Science and Business Media LLC,2,Improved Inception-Capsule deep learning model with enhanced feature selection for early prediction of heart disease,"Nayak, Meghavathu S. S.; Syed, Hussain",15.0,1.0,,10.1038/s41598-025-18551-4,early stopping model selection deep learning
Y,Y,evaluation,2025,Scientific Reports,Springer Science and Business Media LLC,2,Reproducibility of digital pathology features extracted from deep learning and foundational AI models on sequential tissue slides,"Balan, Jagadheshwar; Larson, Nicholas B.",16.0,1.0,,10.1038/s41598-025-30947-w,random seed variance deep learning reproducibility
N,,,2026,Scientific Reports,Springer Science and Business Media LLC,2,Comparative evaluation of machine learning and deep learning approaches for compressive strength prediction of geopolymer concrete,"Ezz, H.; Bakr, S. M.",16.0,1.0,,10.1038/s41598-026-50705-w,CICIDS2017 evaluation deep learning
Y,Y,rare-class,2025,The Computer Journal,Oxford University Press (OUP),2,On adversarial attack detection in intrusion detection system with graph neural network,"Zhang, Kai; Li, Qingqing; Ning, Jianting; Gong, Junqing; Qian, Haifeng",69.0,1.0,18-27,10.1093/comjnl/bxaf096,adversarial robustness intrusion detection
N,,,2025,Oikos,Wiley,1,The sample size of the typical ecological correlation coefficient is small and slowly declining,"Fox, Jeremy W.",2025.0,12.0,,10.1002/oik.11430,Matthews correlation coefficient classification evaluation
Y,Y,related-work,2025,SECURITY AND PRIVACY,Wiley,1,"Design and Implementation of Network Intrusion Detection System (
                    <scp>NIDS</scp>
                    ) Based on Deep Learning","Wang, Wenzhi; Liu, Zhanqiao",8.0,6.0,,10.1002/spy2.70133,rare class detection network security deep learning
Y,Y,related-work,2025,Web Intelligence,SAGE Publications,1,Hybrid optimization based deep stacked autoencoder for routing and intrusion detection,"Boopathi, Mythili",23.0,1.0,3-22,10.3233/web-230109a,LSTM autoencoder CNN hybrid intrusion detection
Y,Y,related-work,2026,Cybersecurity,Springer Science and Business Media LLC,1,Enhancing early detection and accuracy in image-based network intrusion detection systems,"Abo-Alian, Alshaimaa; Prince AbdelHalim, Alaa; Badr, Nagwa",9.0,1.0,,10.1186/s42400-025-00475-1,focal loss network intrusion detection
N,,,2025,SECURITY AND PRIVACY,Wiley,1,User Data Privacy Protection Based on Machine Learning and Encryption Algorithms,"Li, Hong; Liu, Shuang; Tang, Taiyue",8.0,4.0,,10.1002/spy2.70051,data leakage preprocessing machine learning security
N,,,2025,Journal of Big Data,Springer Science and Business Media LLC,1,Ulnar variance detection from radiographic images using deep learning,"Nooh, Sahar; Koura, Abdelrahim; Kayed, Mohammed",12.0,1.0,,10.1186/s40537-025-01072-2,random seed variance deep learning reproducibility
N,,,2026,Scientific Reports,Springer Science and Business Media LLC,1,Intelligent early warning model for financial risks of new energy vehicle enterprises based on deep learning,"Zou, Ling; Wang, Ran",,,,10.1038/s41598-026-55203-7,early stopping model selection deep learning
N,,,2024,Intelligent Decision Technologies,SAGE Publications,1,ACOA: Archimedes conditional autoregressive optimization algorithm based RMDL for web data classification,"Ramesh, Kante; Mohanasundaram, R",19.0,1.0,150-174,10.1177/18724981241292884,decision threshold optimization imbalanced classification
N,,,2025,Monthly Notices of the Royal Astronomical Society,Oxford University Press (OUP),1,Atmospheric model-trained machine learning selection and classification of ultracool TY dwarfs,"Biswas, Ankit",541.0,2.0,1670-1681,10.1093/mnras/staf1084,model selection validation split machine learning
