Class,strategy,pr_auc
Benign,Focal,0.8360007005705649
BruteForce,SMOTE,0.24860055303945114
DDoS,SMOTE,0.9529020098181146
DoS,SMOTE,0.924206403242606
Mirai,SMOTE,0.9998571313147234
Recon,Focal,0.7906492916056994
Spoofing,SMOTE,0.8122710042648608
Web,SMOTE,0.13384458948088448
